co1,score,co2,article_id,date
520,12,18233,494331,1995-01-09
520,15,8363,494559,1995-02-28
520,12,18233,494559,1995-02-28
520,15,8363,495098,1995-06-19
520,12,18233,495098,1995-06-19
520,15,8363,497579,1996-08-20
520,12,18233,497579,1996-08-20
520,1,371369,497579,1996-08-20
520,15,8363,498999,1997-02-11
520,12,18233,498999,1997-02-11
520,1,29665,498999,1997-02-11
520,1,37898,498999,1997-02-11
520,15,8363,499094,1997-02-21
520,12,18233,499094,1997-02-21
520,15,8363,502419,1998-01-21
520,12,18233,502419,1998-01-21
520,12,18233,504457,1998-07-07
520,6,2078,504592,1998-07-16
520,15,8363,504592,1998-07-16
520,15,8363,505806,1998-10-20
520,12,18233,505806,1998-10-20
520,1,345099,505806,1998-10-20
520,12,18233,510270,1999-08-27
795,8,792,293,2007-04-03
795,1,793,293,2007-04-03
795,1,794,293,2007-04-03
795,1,796,293,2007-04-03
795,8,792,14443,2007-07-09
795,8,792,26740,2007-09-27
795,8,792,53985,2008-03-14
795,8,792,58524,2008-04-14
795,3,33436,58524,2008-04-14
795,7,114311,77826,2008-08-12
795,8,792,84073,2008-09-22
795,7,114311,85579,2008-09-30
795,7,114311,91349,2008-10-31
795,7,114311,117422,2009-04-10
795,2,11877,122288,2009-05-11
795,3,11878,122288,2009-05-11
795,2,11877,134655,2009-07-20
795,3,11878,134655,2009-07-20
795,7,114311,151854,2009-10-25
795,7,114311,167670,2010-01-19
795,7,114311,182983,2010-04-12
795,3,33436,197730,2010-06-28
795,1,1972,262772,2011-05-23
795,1,9701,262772,2011-05-23
795,1,92311,262772,2011-05-23
795,1,230724,262772,2011-05-23
795,1,95107,263842,2011-05-27
795,1,259652,263842,2011-05-27
795,1,62689,283971,2011-09-02
795,3,11878,285191,2011-09-08
795,1,33437,285191,2011-09-08
795,1,56093,285191,2011-09-08
795,1,21546,543608,1997-06-03
795,1,21548,543608,1997-06-03
795,1,21552,543608,1997-06-03
795,2,390352,556743,2000-12-11
795,1,9525,562213,2002-04-10
795,2,390352,562213,2002-04-10
795,1,10095,573931,2005-02-07
795,8,792,579741,2006-08-16
795,8,792,580211,2006-09-28
795,1,97839,583563,1993-05-06
795,3,395096,584837,1993-12-30
795,3,395096,584999,1994-01-31
795,3,395096,585541,1994-05-02
795,1,8291,588554,1995-05-31
795,1,32972,588554,1995-05-31
795,1,113240,588554,1995-05-31
795,1,397048,597555,1998-02-03
795,3,33436,624112,2005-11-08
795,1,287538,641858,1997-09-18
795,1,56860,645299,1998-12-14
1241,1,1235,443,2007-04-03
1241,14,1236,443,2007-04-03
1241,18,1237,443,2007-04-03
1241,3,1238,443,2007-04-03
1241,1,1239,443,2007-04-03
1241,1,1240,443,2007-04-03
1241,18,1237,3668,2007-04-27
1241,3,10094,3668,2007-04-27
1241,13,10095,3668,2007-04-27
1241,6,14656,5606,2007-05-11
1241,6,14657,5606,2007-05-11
1241,6,14658,5606,2007-05-11
1241,12,9510,19632,2007-08-13
1241,4,42802,19632,2007-08-13
1241,22,42803,19632,2007-08-13
1241,10,42804,19632,2007-08-13
1241,16,31426,21809,2007-08-29
1241,1,46545,21809,2007-08-29
1241,6,13199,25447,2007-09-20
1241,2,13200,25447,2007-09-20
1241,2,52383,25447,2007-09-20
1241,14,1236,39889,2007-12-12
1241,32,38641,39889,2007-12-12
1241,7,72400,39889,2007-12-12
1241,14,1236,39891,2007-12-12
1241,7,72400,39891,2007-12-12
1241,12,9510,40912,2007-12-18
1241,4,42802,40912,2007-12-18
1241,22,42803,40912,2007-12-18
1241,10,42804,40912,2007-12-18
1241,12,9510,40915,2007-12-18
1241,4,42802,40915,2007-12-18
1241,22,42803,40915,2007-12-18
1241,10,42804,40915,2007-12-18
1241,14,1236,43627,2008-01-08
1241,7,72400,43627,2008-01-08
1241,6,14656,48753,2008-02-11
1241,6,14657,48753,2008-02-11
1241,6,14658,48753,2008-02-11
1241,15,31425,53153,2008-03-10
1241,18,73712,53153,2008-03-10
1241,18,1237,55513,2008-03-26
1241,3,10094,55513,2008-03-26
1241,13,10095,55513,2008-03-26
1241,18,1237,57749,2008-04-09
1241,13,10095,57749,2008-04-09
1241,15,31425,69388,2008-06-20
1241,18,73712,69388,2008-06-20
1241,1,73713,69388,2008-06-20
1241,20,22491,70509,2008-06-27
1241,2,107282,70509,2008-06-27
1241,7,107283,70509,2008-06-27
1241,2,52383,79307,2008-08-23
1241,15,31425,82652,2008-09-13
1241,18,73712,82652,2008-09-13
1241,22,42803,92691,2008-11-09
1241,1,127688,92691,2008-11-09
1241,16,31426,96471,2008-12-01
1241,2,130825,96471,2008-12-01
1241,15,31425,99397,2008-12-17
1241,1,33345,99397,2008-12-17
1241,18,73712,99397,2008-12-17
1241,12,9510,99780,2008-12-18
1241,22,42803,99780,2008-12-18
1241,10,42804,99780,2008-12-18
1241,15,31425,102428,2009-01-09
1241,18,73712,102428,2009-01-09
1241,1,137303,102428,2009-01-09
1241,1,137304,102428,2009-01-09
1241,15,31425,102840,2009-01-12
1241,18,73712,102840,2009-01-12
1241,1,4417,108877,2009-02-20
1241,5,6711,108877,2009-02-20
1241,1,26693,108877,2009-02-20
1241,12,9510,111813,2009-03-09
1241,22,42803,111813,2009-03-09
1241,10,42804,111813,2009-03-09
1241,16,31426,114037,2009-03-23
1241,3,147319,114037,2009-03-23
1241,15,31425,119032,2009-04-21
1241,18,73712,119032,2009-04-21
1241,2,107282,120693,2009-05-01
1241,7,107283,120693,2009-05-01
1241,16,31426,123434,2009-05-18
1241,2,154849,123434,2009-05-18
1241,2,154850,123434,2009-05-18
1241,15,31425,131714,2009-07-03
1241,18,73712,131714,2009-07-03
1241,22,42803,132971,2009-07-10
1241,16,31426,145786,2009-09-24
1241,3,147319,145786,2009-09-24
1241,16,31426,147302,2009-10-01
1241,2,130825,147302,2009-10-01
1241,16,31426,147828,2009-10-05
1241,3,147319,147828,2009-10-05
1241,12,9510,162974,2009-12-21
1241,22,42803,162974,2009-12-21
1241,10,42804,162974,2009-12-21
1241,6,14656,163949,2009-12-29
1241,6,14657,163949,2009-12-29
1241,6,14658,163949,2009-12-29
1241,2,10052,172499,2010-02-13
1241,2,22625,172499,2010-02-13
1241,15,31425,172499,2010-02-13
1241,18,73712,172499,2010-02-13
1241,5,6711,174932,2010-02-27
1241,1,17869,174932,2010-02-27
1241,12,9510,180532,2010-03-29
1241,22,42803,180532,2010-03-29
1241,10,42804,180532,2010-03-29
1241,15,31425,188625,2010-05-12
1241,18,73712,188625,2010-05-12
1241,2,205817,188625,2010-05-12
1241,7,107283,199130,2010-07-06
1241,1,213946,199130,2010-07-06
1241,15,31425,202952,2010-07-27
1241,18,73712,202952,2010-07-27
1241,2,10052,207423,2010-08-21
1241,2,22625,207423,2010-08-21
1241,15,31425,207423,2010-08-21
1241,18,73712,207423,2010-08-21
1241,18,1237,207585,2010-08-23
1241,3,10094,207585,2010-08-23
1241,1,68165,207585,2010-08-23
1241,15,31425,212994,2010-09-20
1241,18,73712,212994,2010-09-20
1241,2,224151,212994,2010-09-20
1241,1,14536,236430,2011-01-10
1241,15,31425,236430,2011-01-10
1241,18,73712,236430,2011-01-10
1241,12,9510,236994,2011-01-13
1241,22,42803,236994,2011-01-13
1241,10,42804,236994,2011-01-13
1241,18,73712,244064,2011-02-17
1241,16,10231,249702,2011-03-17
1241,22,42803,249702,2011-03-17
1241,1,250229,249702,2011-03-17
1241,16,10231,253435,2011-04-05
1241,22,42803,253435,2011-04-05
1241,1,65596,253435,2011-04-05
1241,12,9510,254690,2011-04-11
1241,1,61001,254690,2011-04-11
1241,1,61429,254690,2011-04-11
1241,3,253622,254690,2011-04-11
1241,15,31425,271284,2011-07-01
1241,18,73712,271284,2011-07-01
1241,2,224151,271284,2011-07-01
1241,12,9510,272302,2011-07-06
1241,16,10231,272302,2011-07-06
1241,1,243908,272302,2011-07-06
1241,3,253622,272302,2011-07-06
1241,18,1237,286996,2011-09-16
1241,18,73712,298425,2011-11-04
1241,22,42803,313161,2012-01-10
1241,2,154850,319742,2012-02-09
1241,18,73712,325513,2012-03-06
1241,16,10231,344667,2012-05-30
1241,1,314439,344667,2012-05-30
1241,12,9510,346896,2012-06-08
1241,16,10231,346896,2012-06-08
1241,3,253622,346896,2012-06-08
1241,16,10231,464758,2004-04-14
1241,2,10233,464758,2004-04-14
1241,4,388962,547271,2004-04-26
1241,4,388962,547762,2005-01-26
1241,1,389043,547762,2005-01-26
1241,20,22491,547805,2005-03-17
1241,9,55596,547805,2005-03-17
1241,20,22491,548533,2006-05-14
1241,20,22491,548941,2007-02-07
1241,7,107283,548941,2007-02-07
1241,9,390090,553187,2000-01-29
1241,1,390091,553187,2000-01-29
1241,7,390092,553187,2000-01-29
1241,9,390090,553376,2000-02-15
1241,3,66198,554372,2000-05-25
1241,9,390090,554748,2000-06-27
1241,16,31426,554864,2000-07-06
1241,9,390090,555351,2000-08-17
1241,16,31426,556149,2000-10-25
1241,3,66198,556366,2000-11-10
1241,1,211147,556497,2000-11-22
1241,1,268478,556513,2000-11-23
1241,9,390090,557033,2001-01-03
1241,23,37282,557065,2001-01-08
1241,32,38641,557065,2001-01-08
1241,20,22491,557425,2001-02-06
1241,5,138173,557425,2001-02-06
1241,1,18470,557849,2001-03-13
1241,2,127266,557849,2001-03-13
1241,20,22491,559162,2001-07-09
1241,1,62944,559162,2001-07-09
1241,16,31426,559273,2001-07-18
1241,16,31426,561017,2001-12-11
1241,2,127266,561144,2001-12-20
1241,2,31714,561492,2002-01-29
1241,5,66540,561492,2002-01-29
1241,20,22491,561985,2002-03-18
1241,9,55596,561985,2002-03-18
1241,16,31426,562011,2002-03-20
1241,4,388962,562011,2002-03-20
1241,20,22491,565093,2002-12-03
1241,9,55596,565093,2002-12-03
1241,20,22491,566222,2003-03-24
1241,9,55596,566222,2003-03-24
1241,20,22491,567352,2003-07-08
1241,9,55596,567352,2003-07-08
1241,16,10231,568542,2003-10-20
1241,4,11619,568542,2003-10-20
1241,16,10231,568881,2003-11-17
1241,5,66540,568881,2003-11-17
1241,16,10231,569121,2003-12-05
1241,18,1237,570679,2004-05-12
1241,13,10095,570679,2004-05-12
1241,6,22217,570679,2004-05-12
1241,2,154849,572955,2004-11-17
1241,18,1237,573118,2004-11-30
1241,3,7508,573118,2004-11-30
1241,13,10095,573118,2004-11-30
1241,6,22217,573118,2004-11-30
1241,2,31714,573871,2005-02-01
1241,5,66540,573871,2005-02-01
1241,3,7508,574395,2005-03-29
1241,13,10095,574395,2005-03-29
1241,18,1237,576104,2005-09-14
1241,3,7508,576104,2005-09-14
1241,13,10095,576104,2005-09-14
1241,6,22217,576104,2005-09-14
1241,1,393744,576352,2005-10-03
1241,1,393745,576352,2005-10-03
1241,16,10231,576712,2005-10-28
1241,1,18854,576712,2005-10-28
1241,14,1236,577980,2006-02-24
1241,5,8071,577980,2006-02-24
1241,16,10231,577980,2006-02-24
1241,1,393956,578068,2006-03-08
1241,18,1237,578677,2006-05-11
1241,13,10095,578677,2006-05-11
1241,18,1237,578956,2006-06-06
1241,13,10095,578956,2006-06-06
1241,16,10231,578956,2006-06-06
1241,1,108471,579025,2006-06-11
1241,16,31426,579366,2006-07-13
1241,1,121922,579366,2006-07-13
1241,6,13199,579919,2006-09-01
1241,2,13200,579919,2006-09-01
1241,4,388962,580165,2006-09-25
1241,1,52673,580737,2006-11-07
1241,20,22491,580896,2006-11-17
1241,18,1237,581701,2007-01-31
1241,13,10095,581701,2007-01-31
1241,16,10231,581701,2007-01-31
1241,20,22491,583019,1992-12-14
1241,5,138173,583019,1992-12-14
1241,20,22491,583408,1993-03-29
1241,5,138173,583408,1993-03-29
1241,23,37282,583497,1993-04-20
1241,32,38641,583497,1993-04-20
1241,20,22491,584195,1993-09-01
1241,5,138173,584195,1993-09-01
1241,1,394944,584195,1993-09-01
1241,3,4721,584449,1993-10-21
1241,23,37282,584449,1993-10-21
1241,32,38641,584449,1993-10-21
1241,23,37282,584654,1993-11-24
1241,32,38641,584654,1993-11-24
1241,2,112248,584654,1993-11-24
1241,23,37282,584786,1993-12-20
1241,32,38641,584786,1993-12-20
1241,23,37282,585314,1994-03-24
1241,32,38641,585314,1994-03-24
1241,23,37282,585410,1994-04-08
1241,32,38641,585410,1994-04-08
1241,23,37282,586987,1994-11-14
1241,32,38641,586987,1994-11-14
1241,23,37282,587227,1994-12-13
1241,32,38641,587227,1994-12-13
1241,23,37282,587528,1995-01-26
1241,32,38641,587528,1995-01-26
1241,23,37282,587817,1995-03-06
1241,32,38641,587817,1995-03-06
1241,1,390048,587817,1995-03-06
1241,23,37282,588559,1995-06-01
1241,32,38641,588559,1995-06-01
1241,32,38641,588664,1995-06-13
1241,2,52864,588664,1995-06-13
1241,2,52865,588664,1995-06-13
1241,2,52867,588664,1995-06-13
1241,1,395853,588664,1995-06-13
1241,4,11619,588730,1995-06-20
1241,1,395866,588730,1995-06-20
1241,23,37282,589053,1995-07-26
1241,32,38641,589053,1995-07-26
1241,6,13199,589258,1995-08-23
1241,16,10231,589512,1995-09-26
1241,4,11619,589512,1995-09-26
1241,6,13199,589935,1995-11-15
1241,23,37282,590124,1995-12-05
1241,32,38641,590124,1995-12-05
1241,23,37282,590403,1996-01-15
1241,32,38641,590403,1996-01-15
1241,23,37282,590847,1996-03-12
1241,32,38641,590847,1996-03-12
1241,16,10231,591113,1996-04-11
1241,4,11619,591113,1996-04-11
1241,23,37282,591868,1996-07-05
1241,32,38641,591868,1996-07-05
1241,23,37282,592051,1996-07-25
1241,32,38641,592051,1996-07-25
1241,6,13199,592055,1996-07-25
1241,3,76986,592810,1996-10-07
1241,23,37282,593142,1996-11-06
1241,32,38641,593142,1996-11-06
1241,5,396579,593710,1997-01-10
1241,2,27538,593746,1997-01-15
1241,1,100598,593746,1997-01-15
1241,1,396586,593746,1997-01-15
1241,3,4721,593901,1997-02-03
1241,1,21012,593901,1997-02-03
1241,32,38641,593901,1997-02-03
1241,2,202090,593901,1997-02-03
1241,23,37282,594136,1997-03-03
1241,32,38641,594136,1997-03-03
1241,3,76986,594560,1997-04-22
1241,5,396579,594560,1997-04-22
1241,1,25029,594878,1997-05-27
1241,32,38641,594878,1997-05-27
1241,2,52864,594878,1997-05-27
1241,2,52865,594878,1997-05-27
1241,2,52867,594878,1997-05-27
1241,5,396579,596171,1997-09-25
1241,1,8833,596756,1997-11-18
1241,1,11189,596756,1997-11-18
1241,6,13199,596756,1997-11-18
1241,1,37341,596756,1997-11-18
1241,1,61133,596756,1997-11-18
1241,3,76986,596756,1997-11-18
1241,1,85754,596756,1997-11-18
1241,1,93362,596756,1997-11-18
1241,1,152840,596756,1997-11-18
1241,1,156404,596756,1997-11-18
1241,1,255964,596756,1997-11-18
1241,1,391028,596756,1997-11-18
1241,1,392086,596756,1997-11-18
1241,1,394925,596756,1997-11-18
1241,5,396579,596756,1997-11-18
1241,1,396961,596756,1997-11-18
1241,1,396962,596756,1997-11-18
1241,1,396963,596756,1997-11-18
1241,20,22491,597362,1998-01-14
1241,9,55596,597362,1998-01-14
1241,1,229004,597362,1998-01-14
1241,9,390090,597836,1998-03-06
1241,7,390092,597836,1998-03-06
1241,2,163970,598675,1998-06-02
1241,5,396579,598675,1998-06-02
1241,9,390090,599443,1998-08-10
1241,7,390092,599443,1998-08-10
1241,2,209402,599907,1998-09-18
1241,7,390092,599907,1998-09-18
1241,9,390090,600578,1998-11-17
1241,7,390092,600578,1998-11-17
1241,1,61132,601695,1999-03-08
1241,2,163970,601695,1999-03-08
1241,2,209402,601785,1999-03-17
1241,20,22491,603083,1999-07-08
1241,9,390090,603083,1999-07-08
1241,1,397582,603428,1999-08-04
1241,16,31426,603442,1999-08-05
1241,20,22491,712364,2000-01-28
1241,9,55596,712364,2000-01-28
1241,9,55596,712403,2000-02-10
1241,1,419498,712403,2000-02-10
1241,20,22491,712503,2000-03-28
1241,5,138173,712503,2000-03-28
1241,14,1236,712801,2000-07-25
1241,5,8071,712801,2000-07-25
1241,3,64753,712801,2000-07-25
1241,8,65530,712801,2000-07-25
1241,2,75787,712801,2000-07-25
1241,22,42803,712998,2000-10-05
1241,2,419656,712998,2000-10-05
1241,2,419656,713434,2001-03-07
1241,22,42803,713673,2001-06-05
1241,1,419473,713673,2001-06-05
1241,6,419842,713673,2001-06-05
1241,6,14656,713894,2001-09-04
1241,6,14657,713894,2001-09-04
1241,6,14658,713894,2001-09-04
1241,2,34739,713894,2001-09-04
1241,2,79,713912,2001-09-11
1241,5,66540,713912,2001-09-11
1241,2,79,713936,2001-09-18
1241,5,6711,713936,2001-09-18
1241,5,8071,713951,2001-09-21
1241,22,42803,713951,2001-09-21
1241,3,64753,713951,2001-09-21
1241,2,75787,713951,2001-09-21
1241,6,419842,713951,2001-09-21
1241,1,419904,713951,2001-09-21
1241,32,38641,714780,2002-07-25
1241,7,72400,714780,2002-07-25
1241,22,42803,714797,2002-07-31
1241,6,419842,714797,2002-07-31
1241,14,1236,714822,2002-08-13
1241,5,8071,714822,2002-08-13
1241,3,64753,714822,2002-08-13
1241,8,65530,714822,2002-08-13
1241,1,132391,714822,2002-08-13
1241,22,42803,714839,2002-08-21
1241,6,419842,714839,2002-08-21
1241,16,10231,714856,2002-08-27
1241,2,10233,714856,2002-08-27
1241,5,66540,715118,2002-11-19
1241,1,420109,715118,2002-11-19
1241,20,22491,715351,2003-01-25
1241,22,42803,715351,2003-01-25
1241,6,419842,715351,2003-01-25
1241,22,42803,715571,2003-04-14
1241,6,419842,715571,2003-04-14
1241,14,1236,715936,2003-08-04
1241,8,65530,715936,2003-08-04
1241,32,38641,716784,2004-05-03
1241,7,72400,716784,2004-05-03
1241,14,1236,716826,2004-05-18
1241,8,65530,716826,2004-05-18
1241,18,1237,716954,2004-07-05
1241,13,10095,716954,2004-07-05
1241,6,22217,716954,2004-07-05
1241,14,1236,716980,2004-07-12
1241,1,390961,716980,2004-07-12
1241,18,1237,717016,2004-07-22
1241,13,10095,717016,2004-07-22
1241,1,73017,717016,2004-07-22
1241,32,38641,717021,2004-07-22
1241,7,72400,717021,2004-07-22
1241,6,14656,717136,2004-09-01
1241,6,14657,717136,2004-09-01
1241,6,14658,717136,2004-09-01
1241,2,34739,717136,2004-09-01
1241,7,107283,717643,2005-01-28
